COUNTRY,ISO3,WHO_REGION,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Lebanon,LBN,EMRO,2626733,38.484,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2/14/21,4
Lesotho,LSO,AFRO,201795,9.42,SII - Covishield,3/10/21,1
Liberia,LBR,AFRO,113680,2.248,SII - Covishield,4/1/21,1
Libya,LBY,EMRO,1031060,15.005,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4/11/21,7
Liechtenstein,LIE,OTHER,42843,110.571,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Lithuania,LTU,EURO,3139531,112.363,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Luxembourg,LUX,EURO,758431,121.134,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Madagascar,MDG,AFRO,197001,0.711,SII - Covishield,5/10/21,1
Malawi,MWI,AFRO,929229,4.857,SII - Covishield,3/11/21,1
Malaysia,MYS,WPRO,29886548,92.339,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/21,5
Maldives,MDV,SEARO,676694,125.188,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/21,8
Mali,MLI,AFRO,296490,1.464,SII - Covishield,3/31/21,1
Malta,MLT,EURO,795190,154.537,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Marshall Islands,MHL,WPRO,37295,63.005,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/29/20,3
Martinique,MTQ,AMRO,168530,44.91,Pfizer BioNTech - Comirnaty,,1
Mauritania,MRT,AFRO,565434,12.161,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/21,2
Mauritius,MUS,AFRO,1483840,116.675,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/21,3
Mexico,MEX,AMRO,82678717,64.125,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/20,7
Micronesia (Federated States of),FSM,WPRO,62016,53.916,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/13/21,4
Monaco,MCO,EURO,44060,112.272,Pfizer BioNTech - Comirnaty,,1
Mongolia,MNG,WPRO,4282954,130.646,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/21,6
Montenegro,MNE,EURO,389828,62.068,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
Montserrat,MSR,AMRO,2828,56.571,AstraZeneca - Vaxzevria,2/8/21,1
Morocco,MAR,EMRO,32591453,88.298,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",1/28/21,4
Mozambique,MOZ,AFRO,2297842,7.352,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/8/21,2
Myanmar,MMR,SEARO,4456857,8.191,"Beijing CNBG - BBIBP-CorV,SII - Covishield",1/27/21,2
Namibia,NAM,AFRO,297066,11.691,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/19/21,2
Nauru,NRU,WPRO,14790,136.515,"AstraZeneca - Vaxzevria,SII - Covishield",4/9/21,2
Nepal,NPL,SEARO,8801330,30.207,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield",1/27/21,6
Netherlands,NLD,EURO,21881815,125.703,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
New Caledonia,NCL,WPRO,133804,46.867,Pfizer BioNTech - Comirnaty,1/20/21,1
New Zealand,NZL,WPRO,2439089,50.58,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/19/21,4
Nicaragua,NIC,AMRO,645733,9.748,"Gamaleya - Sputnik V,SII - Covishield",3/2/21,2
Niger,NER,AFRO,491738,2.031,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/29/21,2
Nigeria,NGA,AFRO,4182515,2.029,SII - Covishield,3/5/21,1
Niue,NIU,WPRO,2352,145.365,Pfizer BioNTech - Comirnaty,6/8/21,1
North Macedonia,MKD,EURO,1220375,58.577,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac, Gamaleya - Sputnik V",,5
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,66008,114.683,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/19/20,3
Norway,NOR,EURO,6755187,125.852,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
occupied Palestinian territory,PSE,EMRO,1163445,22.806,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/2/21,7
Oman,OMN,EMRO,1887421,36.96,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/20,5
Pakistan,PAK,EMRO,50985184,23.081,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/21,8
Palau,PLW,WPRO,27703,153.123,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",1/3/21,3
Panama,PAN,AMRO,4124375,95.587,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/21,2
Papua New Guinea,PNG,WPRO,143192,1.6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield",3/30/21,4
Paraguay,PRY,AMRO,3928259,55.075,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/21,7
Peru,PER,AMRO,17703652,53.693,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2/9/21,4
Philippines,PHL,WPRO,29591828,27.005,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/21,9
Pitcairn Islands,PCN,WPRO,73,146,AstraZeneca - Vaxzevria,5/17/21,1
Poland,POL,EURO,36171384,95.293,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
